pango,R,seq_volume
BQ.1.1.77,11.481776237487793,357
BQ.1.1.78,-0.8197320699691772,631
BQ.1.1.79,17.318864822387695,378
BQ.1.1.8,2.947401523590088,237
BQ.1.10,0.687006413936615,6102
BQ.1.10.1,0.8688087463378906,1893
BQ.1.10.2,5.1766037940979,324
BQ.1.10.3,2.1155173778533936,657
BQ.1.11,-1.3402923345565796,4939
BQ.1.12,-1.370340347290039,6361
BQ.1.13,-1.9676730632781982,2973
BQ.1.13.1,9.909146308898926,3008
BQ.1.14,-2.214115858078003,5577
BQ.1.15,-3.035731077194214,1399
BQ.1.16,-7.958176612854004,627
BQ.1.18,5.03976583480835,3638
BQ.1.2,0.2810037434101105,8907
BQ.1.2.1,1.834543228149414,1402
BQ.1.2.3,-2.9827864170074463,2777
BQ.1.21,4.030131816864014,579
BQ.1.22,5.92529821395874,872
BQ.1.23,0.6699451208114624,5004
BQ.1.24,9.159330368041992,959
BQ.1.25,6.133502960205078,521
BQ.1.25.1,7.203335762023926,3098
BQ.1.26,1.3445144891738892,319
BQ.1.26.1,0.28119975328445435,344
BQ.1.28,7.687448978424072,892
BQ.1.3.1,-0.6032018661499023,2163
BQ.1.3.2,-1.6413519382476807,4893
BQ.1.30,4.107749938964844,322
BQ.1.31,4.967028617858887,361
BQ.1.32,0.5989779233932495,1714
BQ.1.4,-2.6643898487091064,413
BQ.1.5,-2.129092216491699,5691
BQ.1.6,-5.866817474365234,1039
BQ.1.8,-0.858634889125824,5572
BQ.1.8.2,-1.087098479270935,831
BQ.1.9,6.162437915802002,227
BR.1,-8.066488265991211,677
BR.1.2,-2.4126245975494385,261
BR.2.1,6.567201614379883,6412
BR.3,-5.886341094970703,411
BR.5.1,2.5567262172698975,448
BS.1.1,-11.26724624633789,425
BT.1,-23.810791015625,400
BT.2,-16.549579620361328,638
BU.1,-3.316173553466797,1010
BU.3,-5.757604122161865,385
BV.1,-17.57622718811035,225
BW.1,-4.949887752532959,737
BW.1.1,3.2416059970855713,1073
BW.1.1.1,3.67641019821167,499
BW.1.1.2,8.510909080505371,265
BY.1,-10.597618103027344,1187
CA.1,-11.113106727600098,350
CA.3,-13.120519638061523,212
CA.3.1,5.769006252288818,384
CA.5,-7.625032901763916,213
CA.7,1.8789293766021729,694
CB.1,-8.65344524383545,353
CC.1,-13.273531913757324,244
CE.1,-12.389358520507812,344
CG.1,-15.037842750549316,587
CH.1.1,12.052997589111328,17426
CH.1.1.1,16.685104370117188,5345
CH.1.1.10,13.643278121948242,780
CH.1.1.11,12.676921844482422,1386
CH.1.1.12,23.334186553955078,616
CH.1.1.13,11.716409683227539,272
CH.1.1.14,18.2596378326416,245
CH.1.1.15,21.2896671295166,493
CH.1.1.16,25.700557708740234,348
CH.1.1.18,14.299705505371094,219
CH.1.1.19,12.255017280578613,713
CH.1.1.2,14.743749618530273,2086
CH.1.1.24,12.143780708312988,1130
CH.1.1.25,8.328624725341797,870
CH.1.1.26,0.2928428649902344,714
